record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
4575,4,111,1,4,4,4
7054,4,279,1,4,4,4
1425,15,1030,1,15,15,15
5643,3,30,1,3,3,3
3232,87,676,2,38,87,62
3554,17,12,1,17,17,17
2892,8,1884,7,6,15,10
5125,12,613,1,12,12,12
1343,4,316,1,4,4,4
1357,11,76,1,11,11,11
6438,2,51,2,2,26,14
3540,10,23,1,10,10,10
2886,19,483,1,19,19,19
5131,15,19,1,15,15,15
2138,9,59,1,9,9,9
5657,10,598,3,10,158,59
4549,40,26,1,40,40,40
9,15,766,2,15,50,32
3226,1,228,1,1,1,1
7040,5,1200,1,5,5,5
1431,8,92,1,8,8,8
5864,11,153,1,11,11,11
628,19,1133,6,19,53,39
2879,10,1114,1,10,10,10
5870,12,896,2,12,31,21
5858,10,34,1,10,10,10
5680,4,36,1,4,4,4
6389,4,122,2,4,74,39
172,12,60,1,12,12,12
7097,63,71,1,63,63,63
1380,11,507,1,11,11,11
614,6,431,1,6,6,6
2689,7,170,1,7,7,7
3597,6,213,1,6,6,6
2851,15,168,1,15,15,15
3583,3,49,1,3,3,3
2845,19,1702,3,4,53,25
600,11,77,1,11,11,11
1394,12,55,1,12,12,12
98,15,891,1,15,15,15
166,6,166,2,6,60,33
7083,8,66,1,8,8,8
5694,13,57,2,13,55,34
2474,6,754,1,6,6,6
4005,2,26,1,2,2,2
6612,9,80,1,9,9,9
6174,3,265,1,3,3,3
4763,11,517,1,11,11,11
2312,10,28,1,10,10,10
3018,12,25,1,12,12,12
4777,9,69,1,9,9,9
5469,12,35,1,12,12,12
2306,28,106,3,28,210,95
6160,5,441,1,5,5,5
6606,53,1710,2,53,131,92
1169,15,891,1,15,15,15
2460,27,58,2,27,29,28
4011,18,464,1,18,18,18
1141,4,313,2,4,77,40
2448,14,123,1,14,14,14
5327,8,80,1,8,8,8
4039,11,15,1,11,11,11
3756,14,413,2,14,144,79
3030,18,1691,2,18,58,38
5441,15,105,1,15,15,15
4987,6,294,1,6,6,6
1627,10,1241,5,10,514,209
6148,11,66,1,11,11,11
7256,11,104,1,11,11,11
1633,4,83,1,4,4,4
7242,60,910,2,60,119,89
3024,20,46,1,20,20,20
5455,11,3534,1,11,11,11
4993,3,14,1,3,3,3
5333,9,324,1,9,9,9
3742,24,1388,1,24,24,24
1155,12,1156,3,12,134,64
6809,11,132,2,11,45,28
3971,26,59,1,26,26,26
4978,11,413,1,11,11,11
1800,6,148,1,6,6,6
1814,14,179,1,14,14,14
358,6,29,1,6,6,6
3965,11,62,1,11,11,11
3795,13,72,2,13,45,29
416,9,1313,1,9,9,9
1182,47,429,1,47,47,47
6835,6,68,1,6,6,6
370,11,36,2,11,24,17
5482,17,649,4,17,46,33
4944,19,291,1,19,19,19
5496,16,437,5,16,359,135
4950,14,457,1,14,14,14
4788,15,678,1,15,15,15
1828,19,427,2,19,65,42
364,13,526,3,13,73,38
402,5,115,2,5,99,52
6821,6,266,1,6,6,6
3781,3,1165,1,3,3,3
3959,8,30,1,8,8,8
365,15,209,1,15,15,15
1829,12,66,1,12,12,12
4789,12,1098,1,12,12,12
4951,14,40,1,14,14,14
5497,30,78,1,30,30,30
3958,7,187,1,7,7,7
3780,3,375,2,3,110,56
6820,3,1963,1,3,3,3
